ID_Cliente,Evasion,Genero,EsAdultoMayor,TienePareja,TieneDependientes,AntigüedadMeses,ServicioTelefonico,MultiplesLineas,TipoInternet,SeguridadEnLinea,RespaldoEnLinea,ProteccionEquipos,SoporteTecnico,TVStreaming,PeliculasStreaming,TipoContrato,FacturaDigital,MetodoPago,CargosMensuales,CargosTotales,CargosDiarios
0002-ORFBO,False,Female,0,True,True,9,True,False,DSL,False,True,False,True,True,False,One year,True,Mailed check,65.6,593.3,2.16
0003-MKNFE,False,Male,0,False,False,9,True,True,DSL,False,False,False,False,False,True,Month-to-month,False,Mailed check,59.9,542.4,1.97
0004-TLHLJ,True,Male,0,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,73.9,280.85,2.43
0011-IGKFF,True,Male,1,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.0,1237.85,3.22
0013-EXCHZ,True,Female,1,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Month-to-month,True,Mailed check,83.9,267.4,2.76
0013-MHZWF,False,Female,0,False,True,9,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),69.4,571.45,2.28
0013-SMEOE,False,Female,1,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),109.7,7904.25,3.6
0014-BMAQU,False,Male,0,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),84.65,5377.8,2.78
0015-UOCOJ,False,Female,1,False,False,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,48.2,340.35,1.58
0016-QLJIS,False,Female,0,True,True,65,True,True,DSL,True,True,True,True,True,True,Two year,True,Mailed check,90.45,5957.9,2.97
0017-DINOC,False,Male,0,False,False,54,False,,DSL,True,False,False,True,True,False,Two year,False,Credit card (automatic),45.2,2460.55,1.48
0017-IUDMW,False,Female,0,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),116.8,8456.75,3.84
0018-NYROU,False,Female,0,True,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,68.95,351.5,2.27
0019-EFAEP,False,Female,0,False,False,72,True,True,Fiber optic,True,True,True,False,True,False,Two year,True,Bank transfer (automatic),101.3,7261.25,3.33
0019-GFNTW,False,Female,0,False,False,56,False,,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),45.05,2560.1,1.48
0020-INWCK,False,Female,0,True,True,71,True,True,Fiber optic,False,True,True,False,False,True,Two year,True,Credit card (automatic),95.75,6849.4,3.15
0020-JDNXP,False,Female,0,True,True,34,False,,DSL,True,False,True,True,True,True,One year,False,Mailed check,61.25,1993.2,2.01
0021-IKXGC,False,Female,1,False,False,1,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,72.1,72.1,2.37
0022-TCJCI,True,Male,1,False,False,45,True,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),62.7,2791.5,2.06
0023-HGHWL,True,Male,1,False,False,1,False,,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,25.1,25.1,0.82
0023-UYUPN,False,Female,1,True,False,50,True,True,No,,,,,,,One year,False,Electronic check,25.2,1306.3,0.83
0023-XUOPT,True,Female,0,True,False,13,True,True,Fiber optic,False,True,True,False,True,False,Month-to-month,False,Electronic check,94.1,1215.6,3.09
0027-KWYKW,False,Female,0,True,True,23,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,83.75,1849.95,2.75
0030-FNXPP,False,Female,0,False,False,3,True,False,No,,,,,,,Month-to-month,False,Mailed check,19.85,57.2,0.65
0031-PVLZI,True,Female,0,True,True,4,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.35,76.35,0.67
0032-PGELS,True,Female,0,True,True,1,False,,DSL,True,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),30.5,30.5,1.0
0036-IHMOT,False,Female,0,True,True,55,True,False,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),103.7,5656.75,3.41
0040-HALCW,False,Male,0,True,True,54,True,False,No,,,,,,,Two year,False,Credit card (automatic),20.4,1090.6,0.67
0042-JVWOJ,False,Male,0,False,False,26,True,False,No,,,,,,,One year,True,Bank transfer (automatic),19.6,471.85,0.64
0042-RLHYP,False,Female,0,True,True,69,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),19.7,1396.9,0.65
0048-LUMLS,False,Male,0,True,True,37,True,False,Fiber optic,False,False,False,False,True,True,One year,False,Credit card (automatic),91.2,3247.55,3.0
0048-PIHNL,False,Female,0,True,False,49,True,False,No,,,,,,,One year,False,Bank transfer (automatic),20.45,900.9,0.67
0052-DCKON,False,Male,0,True,False,66,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Bank transfer (automatic),115.8,7942.15,3.8
0052-YNYOT,False,Female,0,False,False,67,True,False,No,,,,,,,One year,False,Electronic check,20.55,1343.4,0.68
0056-EPFBG,False,Male,0,True,True,20,False,,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),39.4,825.4,1.29
0057-QBUQH,False,Female,0,False,True,43,True,True,No,,,,,,,Two year,True,Electronic check,25.1,1070.15,0.82
0058-EVZWM,False,Female,0,True,False,55,True,True,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,2.95
0060-FUALY,False,Female,0,True,False,59,True,True,Fiber optic,True,True,False,False,True,False,Month-to-month,True,Electronic check,94.75,5597.65,3.11
0064-SUDOG,False,Female,0,True,True,12,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),20.3,224.5,0.67
0064-YIJGF,False,Male,0,True,True,27,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,2.49
0067-DKWBL,True,Male,1,False,False,2,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,49.25,91.1,1.62
0068-FIGTF,False,Female,0,False,False,27,True,False,DSL,False,True,True,True,True,True,One year,False,Mailed check,78.2,2078.95,2.57
0071-NDAFP,False,Male,0,True,True,25,True,True,No,,,,,,,Two year,False,Credit card (automatic),25.5,630.6,0.84
0074-HDKDG,False,Male,0,True,True,25,True,False,DSL,True,True,True,False,False,False,One year,True,Bank transfer (automatic),61.6,1611.0,2.02
0076-LVEPS,False,Male,0,False,True,29,False,,DSL,True,True,True,True,False,False,Month-to-month,True,Mailed check,45.0,1242.45,1.48
0078-XZMHT,False,Male,0,True,False,72,True,True,DSL,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),85.15,6316.2,2.8
0080-EMYVY,False,Female,0,False,False,14,True,False,DSL,False,True,False,False,False,False,One year,False,Credit card (automatic),51.45,727.85,1.69
0080-OROZO,False,Female,0,False,False,35,True,False,Fiber optic,False,False,True,True,True,True,One year,True,Electronic check,99.25,3532.0,3.26
0082-LDZUE,False,Male,0,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Mailed check,44.3,44.3,1.46
0082-OQIQY,False,Male,0,False,False,29,True,False,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,94.2,2607.6,3.09
0083-PIVIK,False,Male,0,False,False,64,True,True,DSL,True,True,True,True,True,False,One year,False,Electronic check,81.25,5567.55,2.67
0089-IIQKO,False,Female,0,True,True,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),99.95,3767.4,3.28
0093-EXYQL,False,Female,1,False,False,40,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,91.55,3673.6,3.01
0093-XWZFY,True,Male,0,False,False,40,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Credit card (automatic),104.5,4036.85,3.43
0094-OIFMO,True,Female,1,False,False,11,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,95.0,1120.3,3.12
0096-BXERS,False,Female,0,True,False,6,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,50.35,314.55,1.65
0096-FCPUF,False,Male,0,False,False,30,True,True,DSL,True,False,False,False,False,True,Month-to-month,True,Mailed check,64.5,1888.45,2.12
0098-BOWSO,False,Male,0,False,False,27,True,False,No,,,,,,,Month-to-month,True,Electronic check,19.4,529.8,0.64
0100-DUVFC,False,Male,1,True,False,70,True,True,Fiber optic,False,True,True,False,True,True,One year,True,Electronic check,104.8,7308.95,3.44
0103-CSITQ,False,Female,0,True,False,57,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),109.4,6252.7,3.59
0104-PPXDV,False,Male,0,True,False,58,True,False,DSL,False,False,True,False,False,False,One year,False,Credit card (automatic),50.3,2878.55,1.65
0106-GHRQR,False,Male,0,False,False,16,True,True,DSL,False,True,True,False,False,True,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,2.35
0106-UGRDO,False,Female,0,True,False,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,116.0,8182.85,3.81
0107-WESLM,True,Male,0,False,False,1,True,False,No,,,,,,,Month-to-month,True,Electronic check,19.85,19.85,0.65
0107-YHINA,True,Male,0,False,True,1,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.75,99.75,3.28
0111-KLBQG,False,Male,1,True,True,32,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Mailed check,93.95,2861.45,3.09
0112-QAWRZ,False,Male,0,True,True,16,True,True,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,2.98
0112-QWPNC,True,Male,0,True,False,49,True,True,DSL,True,False,True,True,True,True,One year,False,Electronic check,84.35,4059.35,2.77
0114-IGABW,False,Female,0,True,False,71,False,,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),58.25,4145.9,1.91
0114-PEGZZ,False,Female,0,False,False,33,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,False,Electronic check,107.55,3645.5,3.53
0114-RSRRW,False,Female,0,True,False,10,True,False,No,,,,,,,Month-to-month,True,Bank transfer (automatic),19.95,187.75,0.66
0115-TFERT,True,Male,0,True,False,21,True,True,Fiber optic,False,True,True,True,True,True,Month-to-month,True,Electronic check,111.2,2317.1,3.65
0117-LFRMW,True,Male,0,True,True,37,False,,DSL,True,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,1.32
0118-JPNOY,False,Female,1,False,False,26,True,False,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Credit card (automatic),85.8,2193.65,2.82
0121-SNYRK,False,Male,0,False,False,50,False,,DSL,True,False,False,True,False,False,One year,True,Mailed check,35.4,1748.9,1.16
0122-OAHPZ,True,Female,0,False,False,7,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,73.85,511.25,2.43
0123-CRBRT,False,Female,0,True,True,61,True,True,DSL,True,True,True,True,True,True,Two year,False,Mailed check,88.1,5526.75,2.89
0125-LZQXK,True,Male,0,False,False,15,True,False,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,101.35,1553.95,3.33
0128-MKWSG,False,Female,0,False,True,26,False,,DSL,True,False,False,True,False,True,Month-to-month,False,Mailed check,45.8,1147.0,1.5
0129-KPTWJ,False,Male,0,True,False,72,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,94.65,6747.35,3.11
0129-QMPDR,False,Male,0,True,True,44,True,False,No,,,,,,,One year,True,Bank transfer (automatic),20.5,865.05,0.67
0130-SXOUN,False,Male,0,False,False,66,True,True,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Credit card (automatic),89.4,5976.9,2.94
0133-BMFZO,True,Female,0,False,False,2,True,False,Fiber optic,True,True,False,True,False,False,Month-to-month,True,Electronic check,86.25,181.65,2.83
0134-XWXCE,False,Female,1,False,False,44,True,False,DSL,False,False,True,True,True,True,One year,False,Bank transfer (automatic),74.85,3268.05,2.46
0135-NMXAP,True,Female,0,False,False,12,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,2.95
0136-IFMYD,False,Male,1,True,False,69,True,True,Fiber optic,False,True,True,True,True,True,Two year,True,Electronic check,109.95,7634.25,3.61
0137-OCGAB,True,Female,0,False,False,1,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Mailed check,80.2,80.2,2.63
